field.pose.pose.position.x,  field.pose.pose.position.y
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.025695800781,  -80.8182144165039
233.02571105957,  -80.8180541992187
233.025543212891,  -80.8180084228516
233.025680541992,  -80.8180160522461
233.025772094727,  -80.8224334716797
233.02751159668,  -80.853141784668
233.030654907227,  -80.9095306396484
233.035018920898,  -80.9868469238281
233.040405273437,  -81.0831604003906
233.04655456543,  -81.1930084228516
233.052886962891,  -81.3060989379883
233.059036254883,  -81.4161376953125
233.064834594727,  -81.5200119018555
233.07048034668,  -81.6195602416992
233.073608398437,  -81.7191009521484
233.073883056641,  -81.8268814086914
233.077041625977,  -81.9408264160156
233.081924438477,  -82.0540390014648
233.087020874023,  -82.1668167114258
233.092208862305,  -82.2792434692383
233.097412109375,  -82.3913650512695
233.102691650391,  -82.5031890869141
233.107955932617,  -82.6147308349609
233.113235473633,  -82.7259750366211
233.115661621094,  -82.8368072509766
233.115051269531,  -82.9469985961914
233.117218017578,  -83.056755065918
233.120956420898,  -83.1661529541016
233.125091552734,  -83.2804412841797
233.129577636719,  -83.4019927978516
233.134140014648,  -83.5237350463867
233.138610839844,  -83.6427917480469
233.142990112305,  -83.7581024169922
233.144546508789,  -83.8717269897461
233.142959594727,  -83.9876556396484
233.137008666992,  -84.1123809814453
233.131912231445,  -84.2502593994141
233.132247924805,  -84.3989334106445
233.133575439453,  -84.5506820678711
233.13525390625,  -84.7002792358398
233.137069702148,  -84.845817565918
233.1357421875,  -84.9891357421875
233.134948730469,  -85.1339797973633
233.135833740234,  -85.2791061401367
233.136901855469,  -85.4211807250977
233.13801574707,  -85.5588912963867
233.139205932617,  -85.6945877075195
233.140441894531,  -85.8331832885742
233.14176940918,  -85.9805374145508
233.139724731445,  -86.1408843994141
233.137588500977,  -86.3159713745117
233.137390136719,  -86.5025939941406
233.137557983398,  -86.6926116943359
233.137832641602,  -86.8799209594727
233.138153076172,  -87.06201171875
233.138534545898,  -87.2382659912109
233.135406494141,  -87.4111022949219
233.127670288086,  -87.5831527709961
233.114685058594,  -87.7539138793945
233.102401733398,  -87.9239501953125
233.095672607422,  -88.0939636230469
233.090026855469,  -88.2636871337891
233.084777832031,  -88.4330673217773
233.079772949219,  -88.6020660400391
233.074951171875,  -88.7707138061523
233.070205688477,  -88.9389953613281
233.065521240234,  -89.1069183349609
233.060913085937,  -89.2744827270508
233.056381225586,  -89.4389038085938
233.052398681641,  -89.5833969116211
233.048568725586,  -89.721305847168
233.044525146484,  -89.8660430908203
233.040328979492,  -90.0178909301758
233.036102294922,  -90.1693115234375
233.032089233398,  -90.3146743774414
233.028289794922,  -90.4512710571289
233.024658203125,  -90.5815582275391
233.021026611328,  -90.7123031616211
233.017166137695,  -90.8511123657227
233.012939453125,  -91.0034637451172
233.008270263672,  -91.1714248657227
233.003295898438,  -91.3512649536133
232.998229980469,  -91.5333251953125
232.993347167969,  -91.7096252441406
232.988708496094,  -91.8767929077148
232.984344482422,  -92.0335922241211
232.980285644531,  -92.1792068481445
232.976455688477,  -92.3169097900391
232.97265625,  -92.4540100097656
232.968643188477,  -92.5985260009766
232.964279174805,  -92.7555770874023
232.95964050293,  -92.922607421875
232.954971313477,  -93.0906295776367
232.950469970703,  -93.2527236938477
232.946212768555,  -93.4060745239258
232.942245483398,  -93.5491561889648
232.938491821289,  -93.6849670410156
232.93473815918,  -93.820556640625
232.930892944336,  -93.9596557617188
232.92707824707,  -94.0983734130859
232.923263549805,  -94.236686706543
232.919448852539,  -94.3745956420898
232.915634155273,  -94.5121231079102
232.911834716797,  -94.6492385864258
232.908020019531,  -94.7859420776367
232.904190063477,  -94.9222259521484
232.897338867187,  -95.0577239990234
232.886764526367,  -95.1921768188477
232.879058837891,  -95.3263168334961
232.873275756836,  -95.4601211547852
232.86767578125,  -95.5961074829102
232.86198425293,  -95.7380065917969
232.856399536133,  -95.8794326782227
232.851013183594,  -96.0173873901367
232.845809936523,  -96.15087890625
232.840682983398,  -96.2823333740234
